genus,adj.p,p.value,statistic.t,parameter.df,conf.int1,conf.int2,estimate.mean in group neg,estimate.mean in group pos
Dolosigranulum,0.0044,4e-4,5.0135,10.8051,6.1851,15.9035,16.9769,5.9326
Other,0.0352,0.0032,3.7072,11.6106,0.9627,3.7323,17.0938,14.7463
Pseudomonas,0.056100000000000004,0.0051,-4.7172,5.0724,-42.7104,-12.6641,137.2031,164.8904
Streptococcus,0.0583,0.0053,3.6115,9.3175,20.0498,86.3529,235.5647,182.3634
Escherichia,0.7865,0.0715,-2.1379,6.7086,-6.5772,0.3602,4.9855,8.094
Acinetobacter,1,0.3284,-1.0943,4.5429,-23.7941,9.8877,113.1824,120.1356
Corynebacterium,1,0.439,0.808,9.4268,-27.4469,58.2784,334.7958,319.3801
Haemophilus,1,0.5123,0.6773,10.9251,-6.0281,11.3803,24.5931,21.917
Moraxella,1,0.4814,0.7491,6.156,-20.1194,38.0314,65.8282,56.8721
Novosphingobium,1,0.5964,-0.5617,5.5208,-8.3289,5.2721,42.9255,44.4539
Staphylococcus,1,0.5997,-0.5605,4.9049,-50.2998,32.3765,104.4424,113.404
