genus,adj.p,p.value,statistic.t,parameter.df,conf.int1,conf.int2,estimate.mean in group fAFI(+) Early,estimate.mean in group fAFI(+) Late
Dolosigranulum,0.8426,0.0766,-2.3732,4,-7.9384,0.6216,3.6608,7.3193
Corynebacterium,0.9372,0.0852,2.2059,4.4515,-6.7229,70.7922,339.123,307.0884
Acinetobacter,1,0.5842,0.6008,3.5491,-24.0482,36.5018,116.2007,109.9739
Escherichia,1,0.8158,0.2441,5.64,-6.7184,8.1818,9.9548,9.2231
Haemophilus,1,0.3228,-1.1068,4.607,-5.7537,2.3526,15.3467,17.0473
Moraxella,1,0.3171,-1.1408,4.0358,-42.9093,17.8547,42.0132,54.5406
Novosphingobium,1,0.678,-0.4376,5.6409,-16.9397,11.8676,45.6254,48.1614
Other,1,0.1787,1.6147,4.1734,-1.2005,4.6716,15.6028,13.8672
Pseudomonas,1,0.6451,0.4949,4.2742000000000004,-38.6254,55.9025,174.4193,165.7808
Staphylococcus,1,0.1944,1.4379,6.8802,-13.9329,56.7793,115.0621,93.6388
Streptococcus,1,0.5585,-0.6143,6.9712,-30.7731,18.0896,165.6657,172.0075
