Sample	Top over-represented sequence	Sum of remaining over-represented sequences
10192_S14_L001_R1_001	16.757884956176664	61.74534093926361
10192_S14_L001_R2_001	8.668490927962576	72.23660934423465
10224_S58_L001_R1_001	2.1057792067129553	54.92640603801119
10224_S58_L001_R2_001	2.418168758764579	54.64650955980431
10354_S75_L001_R1_001	6.864469878168508	67.54235110399493
10354_S75_L001_R2_001	3.8111051809681946	62.28165543234033
10530_S40_L001_R1_001	14.371872192993711	68.64202139449156
10530_S40_L001_R2_001	8.987086312891522	75.29192865392021
10812_S91_L001_R1_001	8.265772843126985	73.56097901609584
10812_S91_L001_R2_001	5.315456862539715	78.43860200411993
1087_S25_L001_R1_001	13.46179845156871	69.13772746527745
1087_S25_L001_R2_001	7.953060359978729	71.64694324521638
11223_S30_L001_R1_001	17.222139037130997	65.18506171549002
11223_S30_L001_R2_001	9.539980167418628	74.83296276729487
11276_S15_L001_R1_001	10.903520507928466	65.95430543790624
11276_S15_L001_R2_001	6.161878448664867	78.33704093669103
11494_S59_L001_R1_001	2.649280120590771	64.05455493436168
11494_S59_L001_R2_001	1.3788439598787898	65.03745231347405
11506_S34_L001_R1_001	10.235495183557507	78.23167754250457
11506_S34_L001_R2_001	4.701025436143294	83.0925112087717
11706_S53_L001_R1_001	17.05880150280215	60.93588127363728
11706_S53_L001_R2_001	9.21277631463984	73.07562689566508
11895_S68_L001_R1_001	13.013605526240996	68.66156716879011
11895_S68_L001_R2_001	7.290881455210509	76.90273469841702
11896_S92_L001_R1_001	9.839344602633407	71.8697349824732
11896_S92_L001_R2_001	6.012999353226283	74.86405774651259
12220_S31_L001_R1_001	12.754922256970444	64.72162269303615
12220_S31_L001_R2_001	8.037484032947187	77.92031890058581
123_S1_L001_R1_001	11.613392552979516	71.83231670084007
123_S1_L001_R2_001	6.79076224940384	71.63241825696272
12547_S16_L001_R1_001	11.528317268498538	67.96775422948106
12547_S16_L001_R2_001	6.518562266693925	79.38527083065166
12694_S76_L001_R1_001	8.518043105809562	73.09243634293452
12694_S76_L001_R2_001	5.565193106078102	78.88910968726003
12819_S54_L001_R1_001	9.401300501845308	66.72199332174722
12819_S54_L001_R2_001	4.871023803479721	74.9663158305833
12885_S69_L001_R1_001	7.812179818698101	68.82836818532206
12885_S69_L001_R2_001	3.972443672485632	77.88956001600303
12994_S93_L001_R1_001	9.333807739802005	72.53688859122204
12994_S93_L001_R2_001	5.867012704326168	77.48257602712489
13393_S32_L001_R1_001	13.053620712314364	63.604503438910065
13393_S32_L001_R2_001	7.605029132168046	75.06023568581071
1356_S26_L001_R1_001	13.147958643565405	70.21830927932065
1356_S26_L001_R2_001	7.807262076996365	74.50862768622744
13615_S17_L001_R1_001	11.675235475987913	65.15721543758391
13615_S17_L001_R2_001	6.883991463646274	76.8275027653764
13858_S55_L001_R1_001	11.50131567533181	64.33507792846198
13858_S55_L001_R2_001	6.493074632044646	72.69756816933173
1420_S4_L001_R1_001	12.388827508286383	71.50984617076696
1420_S4_L001_R2_001	7.504486894269273	77.00310458088161
14216_S70_L001_R1_001	6.169423101966402	71.43833832530275
14216_S70_L001_R2_001	4.351152493814299	79.73450319051959
14372_S33_L001_R1_001	12.153895538129959	64.38391342229562
14372_S33_L001_R2_001	6.697849314440317	74.39262622093825
14714_S18_L001_R1_001	16.846809076314255	61.163886985776074
14714_S18_L001_R2_001	9.412739153109118	72.65857474461366
15002_S56_L001_R1_001	11.697767974634367	62.180893060794865
15002_S56_L001_R2_001	7.151003220833909	68.57117792287549
15116_S71_L001_R1_001	16.95352493046878	64.82224192833243
15116_S71_L001_R2_001	8.87178040227337	77.89209561046394
15425_S34_L001_R1_001	8.682881216396142	69.48642632814648
15425_S34_L001_R2_001	4.788136885220909	77.3460447814288
16066_S57_L001_R1_001	21.463761624996707	62.059699133229685
16066_S57_L001_R2_001	11.548155368794513	72.88071589781418
16384_S72_L001_R1_001	9.833561865266491	64.929823974672
16384_S72_L001_R2_001	5.501488244540317	75.94506315284885
17405_S73_L001_R1_001	9.407831471479028	66.63850668200492
17405_S73_L001_R2_001	3.749472000287591	78.14215999065324
18465_S74_L001_R1_001	12.014504187401384	66.16701055953392
18465_S74_L001_R2_001	6.5253671562082785	76.50351984464135
2196_S5_L001_R1_001	13.54255708877763	67.55345440166536
2196_S5_L001_R2_001	8.301496199896492	75.06236589152695
2712_S34_L001_R1_001	10.389448394427	72.93276713903762
2712_S34_L001_R2_001	6.0844193525644155	72.60899511359142
2995_S53_L001_R1_001	9.680308953603568	72.48070523049911
2995_S53_L001_R2_001	6.263310573118426	77.6762038097159
3256_S6_L001_R1_001	6.053586523507736	73.90587564974943
3256_S6_L001_R2_001	3.717057177950785	75.69131472391781
3262_S27_L001_R1_001	9.038501894851189	73.29617696799124
3262_S27_L001_R2_001	5.0340085669493515	69.46759002086192
364_S2_L001_R1_001	8.722001265906492	74.39373470756618
364_S2_L001_R2_001	5.054651261655314	74.04041453714113
4007_S35_L001_R1_001	7.17255637950502	71.52186517745436
4007_S35_L001_R2_001	4.402407763434954	70.07194299490388
4343_S54_L001_R1_001	11.226066509909305	69.43623334453032
4343_S54_L001_R2_001	7.389989922741015	75.00615832493563
4406_S28_L001_R1_001	8.071933633984745	67.91715383330555
4406_S28_L001_R2_001	4.775903346138857	72.04609988308
4516_S7_L001_R1_001	6.6597334320149555	74.48080493578252
4516_S7_L001_R2_001	4.225019619352658	78.02504896862817
4965_S71_L001_R1_001	10.280708690602683	66.13045376296259
4965_S71_L001_R2_001	6.465442684523956	67.68061149686592
5190_S36_L001_R1_001	10.45589572597757	72.07759927250682
5190_S36_L001_R2_001	5.875113670809337	74.57835707790241
5384_S88_L001_R1_001	6.681794928971496	71.53678659968257
5384_S88_L001_R2_001	4.289255873132468	75.7204506997914
5968_S29_L001_R1_001	10.507291486772507	71.90116832470515
5968_S29_L001_R2_001	6.557719417323657	79.08903606183405
6242_S72_L001_R1_001	7.433950530602419	69.44773215109628
6242_S72_L001_R2_001	4.916347369054544	74.18804790467212
6266_S55_L001_R1_001	7.681112774800241	71.19099928632396
6266_S55_L001_R2_001	5.39818922209317	78.26926575334795
6740_S37_L001_R1_001	6.436073466224262	71.3673509220051
6740_S37_L001_R2_001	3.881218478005674	69.5035400808434
7395_S56_L001_R1_001	8.799215662713118	72.42953390374387
7395_S56_L001_R2_001	5.441476476708842	75.62901283287223
7500_S30_L001_R1_001	6.385323229198886	73.96622718836997
7500_S30_L001_R2_001	4.1756882152799255	76.57071605320138
7588_S12_L001_R1_001	12.237779875618843	55.67029625199075
7588_S12_L001_R2_001	6.602434296338466	65.20426326143823
7780_S73_L001_R1_001	9.848279659173153	67.35104366011447
7780_S73_L001_R2_001	6.230435535505756	69.63905921844267
780_S3_L001_R1_001	16.848623198744473	66.9048366386075
780_S3_L001_R2_001	8.927379084034813	69.92438293622484
7915_S38_L001_R1_001	9.065758994952509	71.93635508441143
7915_S38_L001_R2_001	5.47738744297549	73.6964020189964
8190_S89_L001_R1_001	4.533391076465232	75.162680169676
8190_S89_L001_R2_001	2.86550292046994	78.27525706798144
8404_S28_L001_R1_001	9.95682724680424	68.03395190590827
8404_S28_L001_R2_001	5.267342388359347	74.81811478977713
8695_S31_L001_R1_001	7.089670662337346	72.03620517077219
8695_S31_L001_R2_001	5.015746685871926	78.70657454651986
8780_S57_L001_R1_001	10.004781817840868	72.25936204924338
8780_S57_L001_R2_001	6.820653702627187	77.36090535751121
8852_S51_L001_R1_001	19.49794390228933	60.138709875406555
8852_S51_L001_R2_001	10.064444853618118	70.87460872767448
9046_S13_L001_R1_001	10.631287238464736	66.88679506720243
9046_S13_L001_R2_001	5.986420950533463	79.26091173617846
9308_S39_L001_R1_001	11.360844776064678	71.00390488936148
9308_S39_L001_R2_001	6.590188277998791	68.53768309897886
9325_S90_L001_R1_001	8.400600313412838	71.85155025731099
9325_S90_L001_R2_001	5.455371810834994	76.72223195390656
9372_S74_L001_R1_001	13.903012570892034	68.26048866775372
9372_S74_L001_R2_001	9.002921611119726	72.98830098043737
9536_S29_L001_R1_001	8.878366744557866	70.51285204771861
9536_S29_L001_R2_001	4.6710121756241545	78.70249661788216
9916_S52_L001_R1_001	12.191236163639637	54.436640206142705
9916_S52_L001_R2_001	6.311735450175249	62.682349029549925
