Sample	Unique Reads	Duplicate Reads
10192_S14_L001_R1_001	100030.0	3089937.0
10192_S14_L001_R2_001	113815.0	3076152.0
10224_S58_L001_R1_001	19719.0	155703.0
10224_S58_L001_R2_001	22131.0	153291.0
10354_S75_L001_R1_001	12059.0	139708.0
10354_S75_L001_R2_001	17734.0	134033.0
10530_S40_L001_R1_001	8511.0	162935.0
10530_S40_L001_R2_001	9040.0	162406.0
10812_S91_L001_R1_001	8073.0	135132.0
10812_S91_L001_R2_001	8217.0	134988.0
1087_S25_L001_R1_001	6431.0	104520.0
1087_S25_L001_R2_001	8334.0	102617.0
11223_S30_L001_R1_001	16319.0	337644.0
11223_S30_L001_R2_001	15131.0	338832.0
11276_S15_L001_R1_001	16678.0	235956.0
11276_S15_L001_R2_001	12231.0	240403.0
11494_S59_L001_R1_001	18924.0	174789.0
11494_S59_L001_R2_001	23130.0	170583.0
11506_S34_L001_R1_001	4685.0	85423.0
11506_S34_L001_R2_001	5949.0	84159.0
11706_S53_L001_R1_001	6692.0	73425.0
11706_S53_L001_R2_001	5814.0	74303.0
11895_S68_L001_R1_001	5471.0	75452.0
11895_S68_L001_R2_001	4698.0	76225.0
11896_S92_L001_R1_001	11863.0	238611.0
11896_S92_L001_R2_001	13962.0	236512.0
12220_S31_L001_R1_001	7751.0	83061.0
12220_S31_L001_R2_001	4757.0	86055.0
123_S1_L001_R1_001	6809.0	148770.0
123_S1_L001_R2_001	10808.0	144771.0
12547_S16_L001_R1_001	20575.0	375632.0
12547_S16_L001_R2_001	15629.0	380578.0
12694_S76_L001_R1_001	10069.0	176124.0
12694_S76_L001_R2_001	9543.0	176650.0
12819_S54_L001_R1_001	8894.0	93528.0
12819_S54_L001_R2_001	7553.0	94869.0
12885_S69_L001_R1_001	8889.0	93592.0
12885_S69_L001_R2_001	8092.0	94389.0
12994_S93_L001_R1_001	11511.0	227384.0
12994_S93_L001_R2_001	12307.0	226588.0
13393_S32_L001_R1_001	8560.0	82748.0
13393_S32_L001_R2_001	6215.0	85093.0
1356_S26_L001_R1_001	8302.0	161732.0
1356_S26_L001_R2_001	10940.0	159094.0
13615_S17_L001_R1_001	32761.0	593736.0
13615_S17_L001_R2_001	24524.0	601973.0
13858_S55_L001_R1_001	6990.0	62176.0
13858_S55_L001_R2_001	6043.0	63123.0
1420_S4_L001_R1_001	9167.0	190860.0
1420_S4_L001_R2_001	10359.0	189668.0
14216_S70_L001_R1_001	10098.0	112766.0
14216_S70_L001_R2_001	7587.0	115277.0
14372_S33_L001_R1_001	9547.0	99488.0
14372_S33_L001_R2_001	8067.0	100968.0
14714_S18_L001_R1_001	8061.0	89732.0
14714_S18_L001_R2_001	6529.0	91264.0
15002_S56_L001_R1_001	7847.0	71946.0
15002_S56_L001_R2_001	7422.0	72371.0
15116_S71_L001_R1_001	6344.0	92892.0
15116_S71_L001_R2_001	4948.0	94288.0
15425_S34_L001_R1_001	8122.0	90267.0
15425_S34_L001_R2_001	6777.0	91612.0
16066_S57_L001_R1_001	5778.0	108093.0
16066_S57_L001_R2_001	5653.0	108218.0
16384_S72_L001_R1_001	13716.0	165690.0
16384_S72_L001_R2_001	10356.0	169050.0
17405_S73_L001_R1_001	15796.0	206742.0
17405_S73_L001_R2_001	11802.0	210736.0
18465_S74_L001_R1_001	6385.0	59527.0
18465_S74_L001_R2_001	5033.0	60879.0
2196_S5_L001_R1_001	8303.0	163666.0
2196_S5_L001_R2_001	8645.0	163324.0
2712_S34_L001_R1_001	8131.0	176258.0
2712_S34_L001_R2_001	12870.0	171519.0
2995_S53_L001_R1_001	8495.0	160074.0
2995_S53_L001_R2_001	8248.0	160321.0
3256_S6_L001_R1_001	11914.0	202207.0
3256_S6_L001_R2_001	13526.0	200595.0
3262_S27_L001_R1_001	8506.0	153512.0
3262_S27_L001_R2_001	14470.0	147548.0
364_S2_L001_R1_001	9904.0	201802.0
364_S2_L001_R2_001	14036.0	197670.0
4007_S35_L001_R1_001	13400.0	248752.0
4007_S35_L001_R2_001	18937.0	243215.0
4343_S54_L001_R1_001	10572.0	168048.0
4343_S54_L001_R2_001	10856.0	167764.0
4406_S28_L001_R1_001	7758.0	82047.0
4406_S28_L001_R2_001	8490.0	81315.0
4516_S7_L001_R1_001	9137.0	147596.0
4516_S7_L001_R2_001	9323.0	147410.0
4965_S71_L001_R1_001	15766.0	227048.0
4965_S71_L001_R2_001	18882.0	223932.0
5190_S36_L001_R1_001	8738.0	156212.0
5190_S36_L001_R2_001	10401.0	154549.0
5384_S88_L001_R1_001	9729.0	142745.0
5384_S88_L001_R2_001	10639.0	141835.0
5968_S29_L001_R1_001	11687.0	237302.0
5968_S29_L001_R2_001	11008.0	237981.0
6242_S72_L001_R1_001	13283.0	186113.0
6242_S72_L001_R2_001	13067.0	186329.0
6266_S55_L001_R1_001	18543.0	338762.0
6266_S55_L001_R2_001	17030.0	340275.0
6740_S37_L001_R1_001	19367.0	334156.0
6740_S37_L001_R2_001	26831.0	326692.0
7395_S56_L001_R1_001	26707.0	705631.0
7395_S56_L001_R2_001	34514.0	697824.0
7500_S30_L001_R1_001	11041.0	195871.0
7500_S30_L001_R2_001	12162.0	194750.0
7588_S12_L001_R1_001	14738.0	124029.0
7588_S12_L001_R2_001	14352.0	124415.0
7780_S73_L001_R1_001	14391.0	210826.0
7780_S73_L001_R2_001	17127.0	208090.0
780_S3_L001_R1_001	7414.0	167811.0
780_S3_L001_R2_001	13352.0	161873.0
7915_S38_L001_R1_001	11164.0	186558.0
7915_S38_L001_R2_001	13905.0	183817.0
8190_S89_L001_R1_001	11391.0	168717.0
8190_S89_L001_R2_001	10675.0	169433.0
8404_S28_L001_R1_001	15612.0	209530.0
8404_S28_L001_R2_001	14985.0	210157.0
