Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
10192_S14_L001_R1_001	10192_S14_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3189967.0	0.0	35-301	52.0	3.135757028183233	300.28561110506786	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
10192_S14_L001_R2_001	10192_S14_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3189967.0	0.0	35-301	51.0	3.567900027489689	300.79879133545893	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
10224_S58_L001_R1_001	10224_S58_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175422.0	0.0	121-301	56.0	11.240893388514554	300.6241406437049	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
10224_S58_L001_R2_001	10224_S58_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175422.0	0.0	121-301	56.0	12.61586346068338	300.8341428099098	pass	fail	pass	pass	fail	warn	pass	warn	fail	fail	pass
10354_S75_L001_R1_001	10354_S75_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151767.0	0.0	50-301	52.0	7.94573260326685	300.212648335936	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
10354_S75_L001_R2_001	10354_S75_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151767.0	0.0	50-301	52.0	11.685017164469219	300.3968056296823	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
10530_S40_L001_R1_001	10530_S40_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	171446.0	0.0	50-301	51.0	4.963662027693851	300.88366599395727	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
10530_S40_L001_R2_001	10530_S40_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	171446.0	0.0	50-301	52.0	5.272797265611329	300.93830127270394	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
10812_S91_L001_R1_001	10812_S91_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143205.0	0.0	147-301	52.0	5.637372996752907	300.45862225480954	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
10812_S91_L001_R2_001	10812_S91_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143205.0	0.0	147-301	52.0	5.737928144967006	300.9377116720785	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
1087_S25_L001_R1_001	1087_S25_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110951.0	0.0	47-301	53.0	5.796252399707979	299.9054807978297	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1087_S25_L001_R2_001	1087_S25_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110951.0	0.0	47-301	52.0	7.51142396192914	300.87517012014314	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
