Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
10192_S14_L001_R1_001	96.86424297181676	52.0	300.28561110506786	45.45454545454545	3189967.0
10192_S14_L001_R2_001	96.43209997251031	51.0	300.79879133545893	45.45454545454545	3189967.0
10224_S58_L001_R1_001	88.75910661148545	56.0	300.6241406437049	45.45454545454545	175422.0
10224_S58_L001_R2_001	87.38413653931661	56.0	300.8341428099098	36.36363636363637	175422.0
10354_S75_L001_R1_001	92.05426739673315	52.0	300.212648335936	45.45454545454545	151767.0
10354_S75_L001_R2_001	88.31498283553078	52.0	300.3968056296823	45.45454545454545	151767.0
10530_S40_L001_R1_001	95.03633797230614	51.0	300.88366599395727	45.45454545454545	171446.0
10530_S40_L001_R2_001	94.72720273438867	52.0	300.93830127270394	45.45454545454545	171446.0
10812_S91_L001_R1_001	94.3626270032471	52.0	300.45862225480954	45.45454545454545	143205.0
10812_S91_L001_R2_001	94.262071855033	52.0	300.9377116720785	45.45454545454545	143205.0
1087_S25_L001_R1_001	94.20374760029202	53.0	299.9054807978297	45.45454545454545	110951.0
1087_S25_L001_R2_001	92.48857603807086	52.0	300.87517012014314	45.45454545454545	110951.0
11223_S30_L001_R1_001	95.3896311196368	52.0	300.8010017996231	45.45454545454545	353963.0
11223_S30_L001_R2_001	95.72525941976986	52.0	300.7578842986414	45.45454545454545	353963.0
11276_S15_L001_R1_001	93.3983549324319	52.0	300.2764869336669	45.45454545454545	252634.0
11276_S15_L001_R2_001	95.15860889666475	52.0	300.7528321603585	45.45454545454545	252634.0
11494_S59_L001_R1_001	90.2309086122253	53.0	299.17484113095145	45.45454545454545	193713.0
11494_S59_L001_R2_001	88.05965526319865	53.0	299.6575500869844	45.45454545454545	193713.0
11506_S34_L001_R1_001	94.80068362409553	52.0	300.640265015315	36.36363636363637	90108.0
11506_S34_L001_R2_001	93.3979224930084	52.0	300.8045567541173	45.45454545454545	90108.0
11706_S53_L001_R1_001	91.64721594667799	52.0	299.6210666899659	45.45454545454545	80117.0
11706_S53_L001_R2_001	92.74311319694947	52.0	299.68537264251034	45.45454545454545	80117.0
11895_S68_L001_R1_001	93.23925212856666	51.0	300.82781162339506	45.45454545454545	80923.0
11895_S68_L001_R2_001	94.19571691608071	51.0	300.9155740642339	45.45454545454545	80923.0
11896_S92_L001_R1_001	95.26377987336011	52.0	300.7035141371959	45.45454545454545	250474.0
11896_S92_L001_R2_001	94.42576874246429	52.0	300.9391314068526	45.45454545454545	250474.0
12220_S31_L001_R1_001	91.46478438972824	51.0	300.83736730828525	45.45454545454545	90812.0
12220_S31_L001_R2_001	94.76170550147557	53.0	300.8449544113113	45.45454545454545	90812.0
123_S1_L001_R1_001	95.62344532359765	54.0	300.9034124142718	45.45454545454545	155579.0
123_S1_L001_R2_001	93.05304700505852	53.0	300.9758386414619	45.45454545454545	155579.0
12547_S16_L001_R1_001	94.80700744812687	52.0	300.7296640392522	45.45454545454545	396207.0
12547_S16_L001_R2_001	96.05534480713365	52.0	300.87294015502	45.45454545454545	396207.0
12694_S76_L001_R1_001	94.59217048976062	52.0	300.9134124268904	45.45454545454545	186193.0
12694_S76_L001_R2_001	94.87467305430387	53.0	300.9121449248898	45.45454545454545	186193.0
12819_S54_L001_R1_001	91.31631875964149	53.0	300.7137821952315	45.45454545454545	102422.0
12819_S54_L001_R2_001	92.6256077795786	52.0	300.85737439222044	45.45454545454545	102422.0
12885_S69_L001_R1_001	91.3261970511607	51.0	300.89528790702667	45.45454545454545	102481.0
12885_S69_L001_R2_001	92.10390218674681	51.0	300.97358534752783	45.45454545454545	102481.0
