Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1132_cat_L001_R1_001	96.85216349582133	52.0	298.48008499957217	36.36363636363637	350590.0
1132_cat_L001_R2_001	95.76028979719901	52.0	298.48355058615476	45.45454545454545	350590.0
12014_S33_L001_R1_001	95.37154295518607	52.0	293.8664161117693	36.36363636363637	73437.0
12014_S33_L001_R2_001	95.59077849040675	52.0	293.8563394474175	45.45454545454545	73437.0
13225_S22_L001_R1_001	95.15712492759219	52.0	293.71845433481366	36.36363636363637	82864.0
13225_S22_L001_R2_001	95.19332882795906	52.0	293.7011971423055	45.45454545454545	82864.0
1402_S6_L001_R1_001	96.20078753925456	55.0	296.93831175643635	36.36363636363637	142977.0
1402_S6_L001_R2_001	95.51536261076956	52.0	296.9182036271568	36.36363636363637	142977.0
14212_S23_L001_R1_001	96.17922859164898	53.0	296.75013269639066	36.36363636363637	113040.0
14212_S23_L001_R2_001	94.62402689313518	51.0	296.751813517339	36.36363636363637	113040.0
15699_S24_L001_R1_001	95.15430199017584	52.0	293.939292998781	36.36363636363637	82857.0
15699_S24_L001_R2_001	95.05292250503881	51.0	293.9121377795479	36.36363636363637	82857.0
1749_cat_L001_R1_001	97.38685123944354	52.0	297.6150892344694	36.36363636363637	292712.0
1749_cat_L001_R2_001	95.84437945830715	51.0	297.60743324496434	45.45454545454545	292712.0
17642_S26_L001_R1_001	95.90346580236455	51.0	293.8802069905344	36.36363636363637	108604.0
17642_S26_L001_R2_001	96.17509483996906	51.0	293.85829251224635	36.36363636363637	108604.0
197_S27_L001_R1_001	97.17646357280222	52.0	293.99634759015487	36.36363636363637	134158.0
197_S27_L001_R2_001	96.16273349334367	51.0	296.96798550962296	36.36363636363637	134158.0
1998_S32_L001_R1_001	95.49497293116782	52.0	293.8957124903326	36.36363636363637	82752.0
1998_S32_L001_R2_001	95.3801720804331	53.0	293.88531999226603	45.45454545454545	82752.0
2090_S29_L001_R1_001	97.17482178557725	54.0	293.9593422053488	36.36363636363637	297114.0
2090_S29_L001_R2_001	96.18294661308454	51.0	296.9344864260856	36.36363636363637	297114.0
2188_S7_L001_R1_001	95.9195758081447	51.0	293.9079482141415	36.36363636363637	74306.0
2188_S7_L001_R2_001	95.86036120905445	52.0	293.8853390035798	45.45454545454545	74306.0
2369_S10_L001_R1_001	96.08629705025346	50.0	296.99101903963594	36.36363636363637	100212.0
2369_S10_L001_R2_001	95.81088093242326	51.0	296.96033409172554	36.36363636363637	100212.0
238_cat_L001_R1_001	96.81004007865302	53.0	297.857171715001	36.36363636363637	465335.0
238_cat_L001_R2_001	95.12071948166374	53.0	298.95204530069736	45.45454545454545	465335.0
3181_cat_L001_R1_001	96.25456727228308	52.0	298.1152479530357	36.36363636363637	278339.0
3181_cat_L001_R2_001	95.00321550339693	52.0	298.2158051871998	45.45454545454545	278339.0
3232_S18_L001_R1_001	95.39323874583991	52.0	293.9275996963858	36.36363636363637	85635.0
3232_S18_L001_R2_001	95.75056927658083	52.0	293.9099667192153	45.45454545454545	85635.0
3333_S14_L001_R1_001	97.15080911790893	51.0	296.99856793290456	36.36363636363637	160607.0
3333_S14_L001_R2_001	96.49517144333684	50.0	296.9723860105724	36.36363636363637	160607.0
3573_S11_L001_R1_001	95.1894868671619	52.0	293.88848667844707	36.36363636363637	58289.0
3573_S11_L001_R2_001	96.12448317864434	52.0	293.88231055602256	45.45454545454545	58289.0
3574_S8_L001_R1_001	95.5011030570438	52.0	293.99330286794833	36.36363636363637	101536.0
3574_S8_L001_R2_001	95.1495036243303	52.0	293.9703553419477	36.36363636363637	101536.0
3975_S30_L001_R1_001	95.67432596270423	52.0	296.86926996131865	36.36363636363637	138568.0
3975_S30_L001_R2_001	95.51339414583454	51.0	296.8587336181514	45.45454545454545	138568.0
4180_S19_L001_R1_001	95.27856468366383	51.0	293.9872884433791	36.36363636363637	82602.0
4180_S19_L001_R2_001	94.84879300743323	51.0	293.9569017699329	36.36363636363637	82602.0
4478_S20_L001_R1_001	95.19245264057082	52.0	293.9268880960756	36.36363636363637	79604.0
4478_S20_L001_R2_001	96.19240239183961	52.0	293.91382342595847	45.45454545454545	79604.0
4654_S9_L001_R1_001	95.02667611834497	51.0	293.9625663793854	36.36363636363637	80409.0
4654_S9_L001_R2_001	96.96675745252398	51.0	293.94179755997465	45.45454545454545	80409.0
4688_S15_L001_R1_001	96.23277589432399	50.0	293.9815769731157	36.36363636363637	105303.0
4688_S15_L001_R2_001	95.49870374063417	50.0	293.96305898217526	36.36363636363637	105303.0
5264_S21_L001_R1_001	95.87138303278562	52.0	296.8957066079431	36.36363636363637	129874.0
5264_S21_L001_R2_001	95.35241849792877	51.0	296.863714061321	36.36363636363637	129874.0
5318_S12_L001_R1_001	94.46780287328414	51.0	293.83063494131443	36.36363636363637	84433.0
5318_S12_L001_R2_001	94.83140478249025	52.0	293.77947011239684	36.36363636363637	84433.0
539_cat_L001_R1_001	95.32296737629878	53.0	297.683734166485	36.36363636363637	412890.0
539_cat_L001_R2_001	93.46896267771078	52.0	298.14327060476154	45.45454545454545	412890.0
6260_S16_L001_R1_001	96.40297901599689	50.0	293.9748158825625	36.36363636363637	120711.0
6260_S16_L001_R2_001	95.77089080531186	50.0	293.9289211422323	36.36363636363637	120711.0
6731_S13_L001_R1_001	95.29702634045617	51.0	293.96753290858953	36.36363636363637	73613.0
6731_S13_L001_R2_001	95.21687745371062	51.0	293.9433523969951	36.36363636363637	73613.0
7691_S17_L001_R1_001	95.94561838014438	52.0	293.8388575644201	36.36363636363637	94885.0
7691_S17_L001_R2_001	95.70216577962798	53.0	293.81282605258997	45.45454545454545	94885.0
