"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"883103","Dolosigranulum pigrum ATCC 51524 supercont1.1, whole genome shotgun sequence",30606,0.483904629395396,30590.4,0.48365737866673
"93061","Staphylococcus aureus subsp. aureus NCTC 8325 chromosome, complete genome",10104,0.159752087022515,9939,0.157143118933438
"1121368","Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00012.12_C, whole genome shotgun sequence",8535,0.134944978497344,8514.8,0.134625901375476
"753702","Alkalibacterium subtropicum strain DSM 23664, whole genome shotgun sequence",3362,0.0531558310144194,3364.5,0.0531946362530549
"525260","Corynebacterium accolens ATCC 49725 SCAFFOLD5, whole genome shotgun sequence",2873,0.0454243612446243,2628.9,0.0415643423997988
"169292","Corynebacterium aurimucosum strain 1237_CAUR 173_5055_550973_73_,90+,99+, whole genome shotgun sequence",2183,0.0345149253731343,2447,0.038688759227034
"29433","Moraxella ovis strain 199/55 chromosome, complete genome",1910,0.0301985833544144,1900.6,0.030049611975764
"72758","Staphylococcus capitis subsp. capitis strain AYP1020 chromosome, complete genome",1253,0.0198109031115608,1416.1,0.0223889939283064
"883081","Alloiococcus otitis ATCC 51267 supercont1.2, whole genome shotgun sequence",275,0.00434796357197066,284.3,0.00449491139826446
"573983","Moraxella porci DSM 25326 strain CCUG 54912 54912T_ctg_0000016, whole genome shotgun sequence",199,0.00314634454844422,209.8,0.00331768742637569
"171101","Streptococcus pneumoniae R6, complete sequence",169,0.00267202124968378,157.7,0.00249365356182924
"1121354","Corynebacterium capitovis DSM 44611 A3E3DRAFT_scaffold00005.5_C, whole genome shotgun sequence",156,0.00246648115355426,159.8,0.00252604837178025
"1367847","Paracoccus aminophilus JCM 7686, complete sequence",119,0.00188148241841639,118.8,0.00187889357275688
"936154","Streptococcus parauberis KCTC 11537, complete genome",103,0.00162850999241083,103.2,0.00163155838475328
"519472","Vagococcus teuberi strain DSM 21459 chromosome, complete genome",80,0.00126486213002783,88.8,0.00140419591837817
"38815","Desulfuromonas acetexigens isolate DSM 1397, whole genome shotgun sequence",56,0.000885403491019479,51.9,0.00082015935481331
"1284","Staphylococcus hyicus strain ATCC 11249 chromosome, complete genome",52,0.000822160384518088,51.1,0.000807249474354564
"1423755","Ligilactobacillus hayakitensis DSM 18933 = JCM 14209, whole genome shotgun sequence",48,0.000758917278016696,45.8,0.000724910484571498
"161895","Corynebacterium phocae strain M408/89/1 chromosome, complete genome",37,0.00058499873513787,32.8,0.000519031094058139
"762947","Cytobacillus eiseniae strain FJAT-2352 Scaffold1_1, whole genome shotgun sequence",34,0.000537566405261826,30.7,0.000485452222927508
"634430","Sphingomonas rubra strain CGMCC 1.9113, whole genome shotgun sequence",31,0.000490134075385783,27.6,0.000437080893266594
"33935","Lysinibacillus macroides strain DSM 54 Scaffold4, whole genome shotgun sequence",29,0.000458512522135087,30.5,0.000482787965764204
"120956","Facklamia miroungae strain ATCC BAA-466, whole genome shotgun sequence",29,0.000458512522135087,31.8,0.000502127239696986
"1449353","Phaeacidiphilus oryzae TH49 BS73DRAFT_unitig_0_quiver.4_C, whole genome shotgun sequence",26,0.000411080192259044,21.5,0.000339877046999413
"1219034","Novosphingobium naphthalenivorans NBRC 102051, whole genome shotgun sequence",25,0.000395269415633696,27.6,0.000436647231918603
"79883","Sutcliffiella horikoshii strain 20a chromosome, complete genome",23,0.000363647862383,23.2,0.000366246150843766
"398578","Delftia acidovorans SPH-1, complete sequence",20,0.000316215532506957,19.6,0.000310040148249408
"498211","Cellvibrio japonicus Ueda107, complete sequence",20,0.000316215532506957,19.5,0.000308726173913453
"80876","Insolitispirillum peregrinum strain DSM 11589, whole genome shotgun sequence",18,0.000284593979256261,17.8,0.000280672119663084
"426702","Alkalibacterium pelagium strain DSM 19183, whole genome shotgun sequence",18,0.000284593979256261,17.7,0.000279572468722342
"762211","Bifidobacterium stellenboschense strain DSM 23968 Contig01, whole genome shotgun sequence",18,0.000284593979256261,19.5,0.000307827882847576
"393763","Anaerobacillus alkalilacustris strain DSM 18345 Ga0137925_101, whole genome shotgun sequence",17,0.000268783202630913,15.3,0.000242171606491578
"176280","Staphylococcus epidermidis ATCC 12228, complete sequence",16,0.000252972426005565,12.3,0.000194223066251141
"882085","Saccharomonospora saliphila YIM 90502 SacsaDRAFT_Scaffold116.70, whole genome shotgun sequence",16,0.000252972426005565,16.2,0.00025556446218251
"65735","Paracoccus alkenifer strain DSM 11593, whole genome shotgun sequence",15,0.000237161649380218,14.6,0.000230699055892381
"1120929","Acinetobacter towneri DSM 14962 = CIP 107472 acMad-supercont1.37, whole genome shotgun sequence",15,0.000237161649380218,13.9,0.000219857596777916
"1888195","Streptococcus himalayensis strain HTS2 chromosome, complete genome",15,0.000237161649380218,15,0.000237395234322294
"1479","Bacillus smithii strain DSM 4216 chromosome 1, complete sequence",14,0.00022135087275487,12.4,0.000195473354002357
"191610","Corynebacterium atypicum strain R2070 chromosome, complete genome",14,0.00022135087275487,13.7,0.000217171555819489
"743972","Actinobacillus suis ATCC 33415 chromosome, complete genome",12,0.000189729319504174,10.5,0.000165425897934157
"1376","Aerococcus urinae strain CCUG36881 chromosome, complete genome",12,0.000189729319504174,12,0.000189808741804655
"1121124","Brevundimonas bacteroides DSM 4726 Q333DRAFT_scaffold00001.1_C, whole genome shotgun sequence",12,0.000189729319504174,12.3,0.000194268245312805
"76759","Pseudomonas monteilii strain USDA-ARS-USMARC-56711 chromosome, complete genome",12,0.000189729319504174,10.7,0.000169676145314235
"119206","Aerococcus sanguinicola strain CCUG43001 chromosome, complete genome",12,0.000189729319504174,11.9,0.000188307046956411
"872970","Amphibacillus marinus strain CGMCC 1.10434, whole genome shotgun sequence",12,0.000189729319504174,10.9,0.000172728012518064
"1304","Streptococcus salivarius strain NCTC 8618 chromosome, complete genome",11,0.000173918542878826,11.1,0.000175889412130075
"108981","Acinetobacter schindleri strain ACE chromosome, complete genome",11,0.000173918542878826,14.7,0.00023207977720368
"155085","Staphylococcus lutrae strain ATCC 700373 chromosome, complete genome",11,0.000173918542878826,12.2,0.000193419783219488
"591962","Aeromonas fluvialis strain LMG 24681, whole genome shotgun sequence",11,0.000173918542878826,9.7,0.000153078242911918
"1173111","Lihuaxuella thermophila strain DSM 46701, whole genome shotgun sequence",11,0.000173918542878826,8.6,0.000136072603148755
"34060","Moraxella caviae strain CCUG 355 355T_ctg_0000060, whole genome shotgun sequence",10,0.000158107766253478,9.5,0.000149555334821199
"1242245","Acinetobacter johnsonii XBB1 chromosome, complete genome",10,0.000158107766253478,11.1,0.000176212425455951
"348824","Rhizobium favelukesii strain LPU83 chromosome, complete genome",10,0.000158107766253478,10.3,0.000163309836284078
"479434","Sphaerobacter thermophilus DSM 20745 chromosome 1, complete sequence",9,0.000142296989628131,10,0.00015873245113999
"1575","Leifsonia xyli strain 356_LXYL 135_135677_3808226_13+,132_, whole genome shotgun sequence",8,0.000126486213002783,6.9,0.000108639601733343
"767031","Prevotella denticola F0289, complete sequence",8,0.000126486213002783,8,0.000125923310173918
"71999","Kocuria palustris strain MU14/1 chromosome, complete genome",8,0.000126486213002783,7.4,0.00011748737806877
"85968","Mycolicibacterium brumae isolate MBR1, whole genome shotgun sequence",8,0.000126486213002783,8.6,0.000136390376337417
"1195246","Alishewanella agri BL06 contig023, whole genome shotgun sequence",8,0.000126486213002783,8.3,0.000131935531594194
"1852390","Corynebacterium fournieri strain Marseille-P2948, whole genome shotgun sequence",8,0.000126486213002783,9.1,0.000144319408884923
"649754","Corynebacterium ammoniagenes DSM 20306 strain DSM 20306 = 9.6 chromosome, complete genome",7,0.000110675436377435,8.5,0.000134243285887644
"1705","Corynebacterium stationis strain 622=DSM 20302 chromosome, complete genome",7,0.000110675436377435,6.2,9.81085392331355e-05
"1130798","Limosilactobacillus mucosae LM1 chromosome, complete genome",7,0.000110675436377435,5.4,8.57675306488462e-05
"299766","Enterobacter hormaechei subsp. steigerwaltii strain DSM 16691 chromosome, complete genome",7,0.000110675436377435,6.6,0.000104499956442772
"220684","Neobacillus drentensis strain FJAT-10044 Scaffold1, whole genome shotgun sequence",7,0.000110675436377435,7.1,0.000112683344536642
"937773","Staphylococcus pseudintermedius HKU10-03, complete sequence",7,0.000110675436377435,6.8,0.000108178818583649
"1428644","Mangrovactinospora gilvigriseus strain MUSC 26 206, whole genome shotgun sequence",7,0.000110675436377435,7,0.000110684754518129
"2029567","Rhodomicrobium sp. R_RK_3 BLEFHOIH_16, whole genome shotgun sequence",7,0.000110675436377435,7.2,0.000113243559210617
"1192034","Chondromyces apiculatus DSM 436 contig14, whole genome shotgun sequence",6,9.4864659752087e-05,6,9.48471258328139e-05
"1233","Nitrosovibrio tenuis strain Nv1, whole genome shotgun sequence",6,9.4864659752087e-05,5.9,9.28663843046206e-05
"40041","Streptococcus equi subsp. zooepidemicus, complete sequence",6,9.4864659752087e-05,6.5,0.00010214290808829
"582899","Hyphomicrobium denitrificans ATCC 51888, complete sequence",6,9.4864659752087e-05,5.7,9.04584241456918e-05
"420662","Methylibium petroleiphilum PM1, complete sequence",6,9.4864659752087e-05,6,9.49518122110202e-05
"427920","Alkalihalobacterium alkalinitrilicum strain DSM 22532 Scaffold1, whole genome shotgun sequence",6,9.4864659752087e-05,6.4,0.000100405203370602
"652","Aeromonas schubertii strain WL1483 chromosome, complete genome",5,7.90538831267392e-05,5.4,8.50797228139588e-05
"1121324","Peptoclostridium litorale DSM 5388 strain W6 CLIT_9c, whole genome shotgun sequence",5,7.90538831267392e-05,4.7,7.36944245236674e-05
"29385","Staphylococcus saprophyticus strain 772_SSAP 370_10036_325773_248+,117+, whole genome shotgun sequence",5,7.90538831267392e-05,7.4,0.000116263738855643
"446465","Brachybacterium faecium DSM 4810, complete sequence",5,7.90538831267392e-05,5.6,8.88069472806715e-05
"411903","Collinsella aerofaciens ATCC 25986 C_aerofaciens-2.0_Cont1002, whole genome shotgun sequence",5,7.90538831267392e-05,5.2,8.27444721516487e-05
"161896","Corynebacterium camporealensis strain DSM 44610 chromosome, complete genome",5,7.90538831267392e-05,6.5,0.00010252766035078
"171674","Inquilinus limosus strain Inq sc_002, whole genome shotgun sequence",5,7.90538831267392e-05,4.3,6.8667971847321e-05
"1437874","Corynebacterium sphenisci DSM 44792 chromosome, complete genome",5,7.90538831267392e-05,3.9,6.21189482138042e-05
"675635","Pseudonocardia dioxanivorans CB1190, complete sequence",5,7.90538831267392e-05,5.2,8.20331792003469e-05
"391165","Granulibacter bethesdensis CGDNIH1, complete sequence",5,7.90538831267392e-05,5.8,9.1381308692597e-05
"563996","Sphingomonas hankookensis strain CN3 contig_41, whole genome shotgun sequence",5,7.90538831267392e-05,5.5,8.67756205340973e-05
"1030841","Neisseria wadsworthii 9715 SCAFFOLD2, whole genome shotgun sequence",5,7.90538831267392e-05,4.6,7.20279190630221e-05
"213810","Ruminococcus champanellensis 18P13 = JCM 17042, complete sequence",5,7.90538831267392e-05,4.8,7.65463733172784e-05
"1986204","Brevefilum fermentans isolate CAMBI-1 chromosome I, complete sequence",5,7.90538831267392e-05,5,7.90412909298778e-05
"318586","Paracoccus denitrificans PD1222 chromosome 1, complete sequence",4,6.32431065013913e-05,3.5,5.49333128598874e-05
"160488","Pseudomonas putida KT2440, complete sequence",4,6.32431065013913e-05,5.3,8.36895387489565e-05
"470","Acinetobacter baumannii strain AB30 chromosome, complete genome",4,6.32431065013913e-05,3.7,5.82585082225365e-05
"714","Aggregatibacter actinomycetemcomitans strain 624 chromosome, complete genome",4,6.32431065013913e-05,5.1,8.00176745047683e-05
