Seq_1_Pos_115650,LC267164,uncultured bacterium,195,2.57e-95
Seq_1_Pos_115650,AP022867,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,AP022867,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,AP022867,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,AP022867,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,AP022867,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,AP022867,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR590465,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR590465,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR590465,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR590465,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR590465,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR590465,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR134171,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR134171,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR134171,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR134171,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR134171,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,LR134171,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP033168,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP033168,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP033168,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP033168,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP033168,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP033168,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP033167,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP033167,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP033167,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP033167,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP033167,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP033167,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031691,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031691,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031691,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031691,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031691,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP031691,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP031682,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031682,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031682,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031682,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031682,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031682,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031692,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031692,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031692,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031692,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031692,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031692,Haemophilus influenzae,189,5.56e-92
Seq_1_Pos_115650,CP031680,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031680,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP031680,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP031680,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP031680,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP031680,Haemophilus influenzae,171,5.64e-82
Seq_1_Pos_115650,CP031684,Haemophilus influenzae,192,1.19e-93
Seq_1_Pos_115650,CP031684,Haemophilus influenzae,192,1.19e-93
